Stations_id von_datum bis_datum Stationshoehe geoBreite geoLaenge Stationsname Bundesland
00003 19370101 20110331 202 50.7827 6.0941 Aachen Nordrhein-Westfalen
00011 19800901 20231206 680 47.9736 8.5205 Donaueschingen_(Landeplatz) Baden-Wurttemberg
00044 19690101 19951130 44 52.9336 8.2370 Grossenkneten Niedersachsen
00052 19690101 20011231 46 53.6623 10.1990 Ahrensburg-Wulfsdorf Schleswig-Holstein
00072 19780901 19950531 794 48.2766 9.0001 Albstadt-Onstmettingen Baden-Wurttemberg
00090 19880219 20231206 305 50.7557 9.2583 Alsfeld Hessen
00096 20190409 20231206 50 52.9437 12.8518 Neuruppin-Alt_Ruppin Brandenburg
00102 20010404 20231206 0 53.8633 8.1275 Leuchtturm_Alte_Weser Niedersachsen
00106 19710101 20061201 500 51.7976 10.4429 Altenau Niedersachsen
00125 19740301 20231130 742 47.8342 10.8667 Altenstadt Bayern
00126 19791101 20101130 330 49.5447 10.2213 Uffenheim_(Schulstr.) Bayern
00161 19801201 20231206 75 50.4237 7.4202 Andernach Rheinland-Pfalz
00164 19790101 20231206 54 53.0316 13.9908 Angermunde Brandenburg
00175 19740201 19760430 413 49.2964 10.5751 Ansbach Bayern
00176 19760601 19951130 481 49.2475 10.5826 Ansbach-Claffheim Bayern
00181 19991101 20081102 30 52.8761 11.5042 Arendsee Sachsen-Anhalt
00183 19730101 20231206 42 54.6791 13.4344 Arkona Mecklenburg-Vorpommern
00193 19790901 19871231 232 51.3845 9.0820 Arolsen-Neu_Berich Hessen
00197 19900801 20231206 365 51.3219 9.0558 Arolsen-Volkhardinghausen,_Bad Hessen
00198 19610101 20231206 164 51.3744 11.2920 Artern Thuringen
00222 19820101 20080701 393 50.5908 12.7139 Aue Sachsen
00232 19610101 20231206 462 48.4253 10.9417 Augsburg Bayern
00259 19780501 19930731 275 47.8064 7.6387 Mullheim Baden-Wurttemberg
00268 19980101 20081231 622 48.5293 8.2727 Baiersbronn-Obertal Baden-Wurttemberg
00282 19710801 20231206 240 49.8743 10.9206 Bamberg Bayern
